h_single_phase,h_evaporation,h_condensation,f_single_phase,f_evaporation,f_condensation,beta,phi,gamma,eta_is,Q,T1_prime,T4_prime,log_A_evap,log_A_cond
1.0217888802078718,0.8454948134320952,0.8639813164753278,0.7442879155083415,0.9320647408507916,1.1420936249918368,34.89280700683594,1.2491622924804686,0.6217361450195313,0.6310623168945313,27009.048461914062,290.2970886230469,313.13886108398435,1.807724754575771,1.3680754109961242
0.7639041037204805,1.058404736537347,1.0711036010020274,1.0166231253116242,1.1403687411888002,0.9332893612141743,49.89280700683594,1.1491622924804685,0.5217361450195314,0.7310623168945313,22009.048461914062,280.2970886230469,323.13886108398435,0.2516966322558613,0.9385758994520209
0.7410135458699465,0.9686107114879488,0.9438723566402043,0.8467667537783157,0.8253798240980021,1.086927500778551,32.54905700683594,1.2710372924804687,0.6186111450195313,0.5904373168945313,24977.798461914062,296.2345886230469,304.07636108398435,1.9596627037693566,1.4172450453744332
1.015867128526917,1.207895420747889,1.1581491952691652,1.0592163564452384,1.0466835695872885,0.8836026455002169,47.54905700683594,1.1710372924804686,0.5186111450195313,0.6904373168945312,29977.798461914062,286.2345886230469,314.07636108398435,0.7020795795462188,0.8962037707882033
1.1220708664178685,0.8551598199345452,1.0396091747146983,0.9633536623001732,1.1705169185738642,1.2796866768768074,55.04905700683594,1.2210372924804687,0.5686111450195314,0.7404373168945313,22477.798461914062,281.2345886230469,309.07636108398435,0.5448108462260918,0.7044985942902071
0.9179205324086119,1.0647969429667303,0.8112483323535941,1.195259621741144,0.9510891258083013,0.9882870539591857,40.04905700683594,1.1210372924804686,0.4686111450195313,0.6404373168945313,27477.798461914062,291.2345886230469,319.07636108398435,0.5019451478897841,1.654148386785717
0.9686107114879488,0.7410135458699465,1.3054262464339284,0.7144936883284354,1.4152837271027408,0.9397153621048601,36.29905700683594,1.1960372924804685,0.6436111450195313,0.7154373168945313,21227.798461914062,288.7345886230469,306.57636108398435,1.9995112789096698,0.5525689079014366
1.207895420747889,1.015867128526917,0.9921507753035194,1.0107233794093524,0.9989414747121089,1.1515797610202665,51.29905700683594,1.2960372924804686,0.5436111450195313,0.6154373168945313,26227.798461914062,298.7345886230469,316.57636108398435,0.9883271421411225,1.136970108358735
1.0647969429667303,0.9179205324086119,0.8887445277576844,0.9119026178370765,0.897493653519976,0.8024145414176322,58.79905700683594,1.1460372924804687,0.5936111450195314,0.5654373168945312,23727.798461914062,293.7345886230469,311.57636108398435,0.33703626071511555,1.0019959844613848
0.8551598199345452,1.1220708664178685,1.0915292168086481,1.1150684412715883,1.0998485197284054,1.0356304761276114,43.79905700683594,1.2460372924804686,0.4936111450195313,0.6654373168945313,28727.798461914062,283.7345886230469,321.57636108398435,0.8489571679264984,1.1253786470426097
0.8889861015584576,0.8889861015584576,0.7401946497037701,1.0345160891429532,1.0225255001584996,1.0118107790299664,30.674057006835938,1.1335372924804685,0.6311111450195314,0.5779373168945313,28102.798461914062,279.9845886230469,315.32636108398435,2.240161373530569,2.0531398616892385
1.091750474781289,1.091750474781289,1.0156825195272663,0.7998027986231245,0.7663861819878269,0.7208661677843891,45.67405700683594,1.2335372924804686,0.5311111450195314,0.6779373168945313,23102.798461914062,289.9845886230469,305.32636108398435,0.5831902196780775,0.6905225826804541
1.3069002212014276,0.992334611922456,1.1218153830277624,1.149783833622914,0.9254883823052188,1.116529196337884,53.17405700683594,1.1835372924804686,0.5811111450195313,0.7279373168945313,25602.798461914062,294.9845886230469,320.32636108398435,0.6535521866712506,0.8069878126067583
0.992334611922456,1.3069002212014276,0.917707208542329,0.9385379558186369,1.131510277164149,0.9131878392612451,38.17405700683594,1.2835372924804687,0.48111114501953134,0.6279373168945312,20602.798461914062,284.9845886230469,310.32636108398435,0.6254278110967965,0.9082356859575937
0.9440692125037238,0.9440692125037238,1.0645954562463051,1.0856480571314584,0.9753310902311707,0.964469839350623,34.42405700683594,1.2085372924804687,0.6061111450195313,0.7029373168945313,26852.798461914062,292.4845886230469,317.82636108398435,1.6837187543825818,1.2071085614489616
1.158469617790114,1.158469617790114,0.8548669155541226,0.8821317690750021,1.226743039844323,1.1978179293233497,49.42405700683594,1.1085372924804686,0.5061111450195314,0.6029373168945313,21852.798461914062,282.4845886230469,307.82636108398435,0.08044539090849812,1.022285875728482
1.0397993111493196,0.811652863782864,0.9684230318288545,1.2737426511634355,1.0721259421104523,0.8485826658353093,56.92405700683594,1.2585372924804688,0.5561111450195313,0.5529373168945313,29352.798461914062,287.4845886230469,322.82636108398435,0.9453538123243016,1.2562366980334578
0.811652863782864,1.0397993111493196,1.207416777559972,0.9871990915194586,0.8653517499017039,1.0603903891988753,41.92405700683594,1.1585372924804687,0.4561111450195313,0.6529373168945313,24352.798461914062,297.4845886230469,312.82636108398435,0.48452271134421915,0.9053477264684338
0.782330559370001,0.782330559370001,1.003904616960243,0.9255143435010614,0.9385129964572166,1.1726469500602843,48.48655700683594,1.1022872924804685,0.4748611450195313,0.6216873168945313,20915.298461914062,279.3595886230469,319.70136108398435,0.6244391052802254,1.0539765012494062
1.0277448001468406,1.0277448001468406,0.6531714912598187,1.1315439839568395,1.1497460565352102,0.9522553985182781,33.48655700683594,1.2022872924804686,0.5748611450195313,0.7216873168945312,25915.298461914062,289.3595886230469,309.70136108398435,1.6344909736151925,1.8246548269853902
